lat;long;order;dialect
8.6192108;56.7039837;524;NV
8.6218715;56.7023816;525;NV
8.6235881;56.7006853;526;NV
8.6247898;56.698659;527;NV
8.6257339;56.6981406;528;NV
8.6268497;56.6981406;529;NV
8.627708;56.6973866;530;NV
8.628738;56.6972923;531;NV
8.629253;56.6965854;532;NV
8.6310554;56.696444;533;NV
8.6320854;56.6957371;534;NV
8.6340595;56.6937577;535;NV
8.6355186;56.6917781;536;NV
8.6350036;56.6901756;537;NV
8.633802;56.6888086;538;NV
8.6321712;56.6881958;539;NV
8.6303688;56.6878659;540;NV
8.6276222;56.6889029;541;NV
8.6259914;56.6878187;542;NV
8.6251331;56.6861688;543;NV
8.6245323;56.682916;544;NV
8.6264206;56.6815488;545;NV
8.6275364;56.6800873;546;NV
8.6290813;56.6792857;547;NV
8.6301971;56.6795215;548;NV
8.6307979;56.6784842;549;NV
8.6330295;56.6768339;550;NV
8.6375785;56.6748535;551;NV
8.6384369;56.6749949;552;NV
8.6408401;56.6749006;553;NV
8.6419559;56.6738632;554;NV
8.6425567;56.6712224;555;NV
8.6422992;56.6698076;556;NV
8.6436725;56.6691473;557;NV
8.6464191;56.6699962;558;NV
8.6585212;56.6720241;559;NV
8.6734558;56.6749478;560;NV
8.6848713;56.6770225;561;NV
8.7026058;56.6820267;562;NV
8.7064252;56.6824039;563;NV
8.7083564;56.6825925;564;NV
8.7133346;56.6823096;565;NV
8.7197719;56.6813902;566;NV
8.7220035;56.6814845;567;NV
8.7250505;56.6813902;568;NV
8.7271104;56.6808716;569;NV
8.7298141;56.6800701;570;NV
8.7306724;56.6794808;571;NV
8.7303291;56.6801644;572;NV
8.72887;56.6809659;573;NV
8.7299858;56.6815081;574;NV
8.7310157;56.6816731;575;NV
8.7316165;56.6821682;576;NV
8.7332044;56.6823803;577;NV
8.7341486;56.6824275;578;NV
8.7345777;56.6827575;579;NV
8.7354789;56.682781;580;NV
8.7419162;56.6843603;581;NV
8.7482677;56.6854682;582;NV
8.7492548;56.6858689;583;NV
8.7519584;56.6865996;584;NV
8.7593828;56.6895221;585;NV
8.7604127;56.6899699;586;NV
8.7621294;56.6901349;587;NV
8.7641035;56.6905591;588;NV
8.7649189;56.6911483;589;NV
8.7654768;56.6913604;590;NV
8.7661634;56.6916667;591;NV
8.7679658;56.6922795;592;NV
8.7702833;56.6921852;593;NV
8.7719141;56.692468;594;NV
8.7751756;56.6939291;595;NV
8.7762914;56.6948717;596;NV
8.7740815;56.6983679;597;NV
8.7739099;56.6985681;598;NV
8.773352;56.6987331;599;NV
8.7729443;56.6989098;600;NV
8.7715066;56.6995224;601;NV
8.7698329;56.7008418;602;NV
8.7692535;56.7016665;603;NV
8.7688029;56.7018314;604;NV
8.7680308;56.703032;605;NV
8.7681166;56.7037859;606;NV
8.7687174;56.7047283;607;NV
8.7700049;56.7053879;608;NV
8.7716357;56.7065187;609;NV
8.7733523;56.7075081;610;NV
